"uniqid","demfirst","repfirst","female","gender","state","age","educ","race","hispanic","region","pid7","pid3","demrich","demrel","demrace","demsex","demage","demeduc","dememploy","demunion","reprich","reprel","reprace","repsex","repage","repeduc","repemploy","repunion","reprich1","reprel1","reprace1","repsex1","repage1","repeduc1","repemploy1","repunion1","demrich1","demrel1","demrace1","demsex1","demage1","demeduc1","dememploy1","demunion1"
"R_2mGDeDkmYOQUOgZ",1,NA,"FALSE","Male","Arizona","18-29","Some college","White/Caucasian","FALSE","west","3","Democrat","Middle class","Catholic","Black or African-American","Man","18-35","Never went to college","Employed","Union Member","Rich","Born-again/Evangelical Christian","White","Man","36-50","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_0dYFfdDG4vrIAFT",1,NA,"TRUE","Female","New Jersey","30-49","Some college","White/Caucasian","FALSE","northeast","3","Democrat","Middle class","Atheist or agnostic","White","Man","36-50","College Educated","Employed","Not a Union Member","Middle class","Other Protestant Christian","White","Man","50+","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_71BVzhlomIo8Auh",NA,1,"TRUE","Female","Colorado","50+","Bachelor's degree","White/Caucasian","FALSE","west","1","Democrat","","","","","","","","","","","","","","","","","Middle class","Born-again/Evangelical Christian","White","Man","50+","Never went to college","Employed","Not a Union Member","Middle class","Other Protestant Christian","White","Woman","36-50","College educated","Employed","Union Member"
"R_1zcs7QD7XI2SLlz",NA,1,"TRUE","Female","Virginia","18-29","Some college","White/Caucasian","FALSE","south","2","Democrat","","","","","","","","","","","","","","","","","Rich","Catholic","White","Man","36-50","College Educated","Employed","Not a Union Member","Middle class","Other Protestant Christian","White","Man","18-35","College educated","Employed","Union Member"
"R_6WD4C2ccMjHOdpz",1,NA,"FALSE","Male","Texas","18-29","Some college","White/Caucasian","FALSE","south","3","Democrat","Poor","Atheist or agnostic","White","Man","36-50","College Educated","Employed","Not a Union Member","Poor","Jewish","Black or African-American","Man","18-35","College educated","Employed","Union member","","","","","","","","","","","","","","","",""
"R_2uI4l71XfIvKbA1",1,NA,"TRUE","Female","Arizona","18-29","Some college","More than one race","FALSE","west","4","Independent","Middle class","Other Protestant Christian","White","Woman","18-35","College Educated","Employed","Union Member","Middle class","Other Protestant Christian","White","Man","36-50","College educated","Employed","Union member","","","","","","","","","","","","","","","",""
"R_8H5nqOBxuU3fCwl",NA,1,"TRUE","Female","Delaware","50+","High school degree or equivalent","White/Caucasian","FALSE","south","6","Republican","","","","","","","","","","","","","","","","","Middle class","Other Protestant Christian","White","Man","36-50","College Educated","Employed","Not a Union Member","Middle class","Other Protestant Christian","White","Man","36-50","College educated","Employed","Not a Union Member"
"R_6s2VGSqaqrN0oPX",1,NA,"TRUE","Female","Michigan","50+","Some college","White/Caucasian","FALSE","midwest","5","Republican","Poor","Other Protestant Christian","White","Woman","50+","Never went to college","Unemployed","Not a Union Member","Middle class","Born-again/Evangelical Christian","White","Man","50+","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_0IBLhSeaJNm7x1r",1,NA,"FALSE","Male","Kentucky","30-49","Bachelor's degree","White/Caucasian","FALSE","south","7","Republican","Poor","Atheist or agnostic","Black or African-American","Woman","18-35","Never went to college","Unemployed","Union Member","Middle class","Born-again/Evangelical Christian","White","Man","36-50","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_9HyrFtI4Hda0LQh",1,NA,"TRUE","Female","Missouri","18-29","Some college","White/Caucasian","FALSE","midwest","4","Independent","Middle class","Other Protestant Christian","White","Woman","18-35","College Educated","Employed","Not a Union Member","Rich","Catholic","White","Man","36-50","College educated","Employed","Union member","","","","","","","","","","","","","","","",""
"R_aV4JyuQQOnQdT3n",NA,1,"TRUE","Female","California","50+","Some college","White/Caucasian","FALSE","west","2","Democrat","","","","","","","","","","","","","","","","","Middle class","Born-again/Evangelical Christian","White","Man","50+","College Educated","Employed","Not a Union Member","Middle class","Other Protestant Christian","White","Man","36-50","College educated","Employed","Union Member"
"R_bqNHcqis7BSfLTf",1,NA,"FALSE","Male","Maryland","18-29","High school degree or equivalent","More than one race","TRUE","south","2","Democrat","Middle class","Jewish","White","Man","36-50","College Educated","Employed","Union Member","Middle class","Something else","White","Man","36-50","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_4UAnbuZ4MHwv2qF",NA,1,"TRUE","Female","Texas","30-49","Bachelor's degree","White/Caucasian","FALSE","south","4","Independent","","","","","","","","","","","","","","","","","Rich","Born-again/Evangelical Christian","White","Man","36-50","College Educated","Employed","Not a Union Member","Poor","Born-again/Evangelical Christian","White","Man","18-35","Never went to college","Unemployed","Union Member"
"R_eEi426YHBXL71Bj",NA,1,"FALSE","Male","Virginia","30-49","Advanced degree","White/Caucasian","TRUE","south","1","Democrat","","","","","","","","","","","","","","","","","Middle class","Other Protestant Christian","White","Man","50+","College Educated","Employed","Not a Union Member","Middle class","Atheist or agnostic","Black or African-American","Man","18-35","College educated","Employed","Union Member"
"R_0olbWknHsu8be05",NA,1,"FALSE","Male","Illinois","50+","Advanced degree","White/Caucasian","FALSE","midwest","7","Republican","","","","","","","","","","","","","","","","","Middle class","Other Protestant Christian","White","Woman","50+","College Educated","Employed","Not a Union Member","Middle class","Something else","White","Man","36-50","Never went to college","Employed","Union Member"
"R_1HtdguTQDOwipjT",NA,1,"TRUE","Female","Texas","30-49","Bachelor's degree","Black/African American","FALSE","south","2","Democrat","","","","","","","","","","","","","","","","","Middle class","Catholic","White","Man","36-50","College Educated","Employed","Not a Union Member","Middle class","Other Protestant Christian","Black or African-American","Man","36-50","College educated","Employed","Union Member"
"R_0qhgO9xz2jgxglT",1,NA,"FALSE","Male","Texas","50+","Advanced degree","White/Caucasian","FALSE","south","4","Independent","Middle class","Other Protestant Christian","White","Woman","18-35","College Educated","Employed","Not a Union Member","Rich","Born-again/Evangelical Christian","White","Man","50+","Never went to college","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_41JMlamAOsOb3GB",NA,1,"FALSE","Male","South Carolina","18-29","Some college","White/Caucasian","FALSE","south","3","Democrat","","","","","","","","","","","","","","","","","Middle class","Born-again/Evangelical Christian","White","Woman","36-50","Never went to college","Employed","Union Member","Middle class","Atheist or agnostic","White","Woman","36-50","College educated","Employed","Not a Union Member"
"R_cAveTxaIvb1BzhP",NA,1,"FALSE","Male","Utah","18-29","Bachelor's degree","White/Caucasian","FALSE","west","1","Democrat","","","","","","","","","","","","","","","","","Middle class","Born-again/Evangelical Christian","White","Man","18-35","College Educated","Employed","Not a Union Member","Middle class","Other Protestant Christian","White","Man","18-35","College educated","Employed","Not a Union Member"
"R_1Bn5MYypAHSWjpr",1,NA,"FALSE","Male","Illinois","18-29","Bachelor's degree","Black/African American","FALSE","midwest","2","Democrat","Middle class","Other Protestant Christian","White","Man","36-50","College Educated","Employed","Not a Union Member","Middle class","Born-again/Evangelical Christian","White","Woman","36-50","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_do1PvO6hHFYttfn",1,NA,"FALSE","Male","Indiana","30-49","Advanced degree","White/Caucasian","FALSE","midwest","7","Republican","Middle class","Other Protestant Christian","White","Woman","18-35","College Educated","Employed","Not a Union Member","Middle class","Other Protestant Christian","White","Man","36-50","College educated","Employed","Union member","","","","","","","","","","","","","","","",""
"R_enDfHInAq9JlBBj",1,NA,"FALSE","Male","Vermont","18-29","Some college","White/Caucasian","FALSE","northeast","6","Republican","Poor","Other Protestant Christian","Black or African-American","Woman","18-35","Never went to college","Unemployed","Not a Union Member","Middle class","Other Protestant Christian","White","Man","36-50","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_ekQ4SPLTbm2ypWB",NA,1,"TRUE","Female","Pennsylvania","18-29","Bachelor's degree","White/Caucasian","FALSE","northeast","4","Independent","","","","","","","","","","","","","","","","","Middle class","Other Protestant Christian","White","Man","36-50","College Educated","Employed","Union Member","Rich","Atheist or agnostic","White","Man","18-35","College educated","Employed","Not a Union Member"
"R_0BZTxy8UR0uix0h",NA,1,"FALSE","Male","Georgia","18-29","Some college","Asian","TRUE","south","2","Democrat","","","","","","","","","","","","","","","","","Middle class","Catholic","White","Man","36-50","College Educated","Employed","Union Member","Middle class","Born-again/Evangelical Christian","White","Woman","36-50","College educated","Employed","Union Member"
"R_1HoioADUG97Gw8R",1,NA,"TRUE","Female","Pennsylvania","50+","Advanced degree","White/Caucasian","FALSE","northeast","1","Democrat","Middle class","Other Protestant Christian","White","Woman","36-50","College Educated","Employed","Not a Union Member","Middle class","Born-again/Evangelical Christian","White","Man","36-50","Never went to college","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_da2thw2v9Gx22rj",1,NA,"TRUE","Female","New Mexico","30-49","Some college","White/Caucasian","FALSE","west","2","Democrat","Middle class","Born-again/Evangelical Christian","White","Man","36-50","College Educated","Employed","Not a Union Member","Rich","Born-again/Evangelical Christian","White","Man","50+","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_8qOJZcPpf4XpK7j",1,NA,"FALSE","Male","Nevada","18-29","High school degree or equivalent","White/Caucasian","FALSE","west","1","Democrat","Middle class","Jewish","White","Man","18-35","College Educated","Employed","Union Member","Rich","Catholic","White","Man","36-50","Never went to college","Unemployed","Not a union member","","","","","","","","","","","","","","","",""
"R_8prjRd18cAhVxAx",1,NA,"FALSE","Male","Georgia","18-29","Some college","White/Caucasian","FALSE","south","1","Democrat","Middle class","Atheist or agnostic","White","Man","18-35","Never went to college","Unemployed","Not a Union Member","Rich","Catholic","White","Man","50+","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_d6W067S54b7eIyp",NA,1,"TRUE","Female","Iowa","18-29","High school degree or equivalent","White/Caucasian","FALSE","midwest","6","Republican","","","","","","","","","","","","","","","","","Middle class","Catholic","White","Man","36-50","College Educated","Employed","Not a Union Member","Poor","Other Protestant Christian","Black or African-American","Woman","18-35","Never went to college","Unemployed","Not a Union Member"
"R_9AeaaR9GJe2hAmF",NA,1,"FALSE","Male","Michigan","18-29","Bachelor's degree","White/Caucasian","FALSE","midwest","3","Democrat","","","","","","","","","","","","","","","","","Rich","Catholic","White","Man","50+","College Educated","Employed","Not a Union Member","Middle class","Jewish","White","Man","18-35","College educated","Employed","Not a Union Member"
"R_5p3zuK36I1RGDf7",1,NA,"FALSE","Male","Kentucky","30-49","Some college","White/Caucasian","FALSE","south","4","Independent","Rich","Jewish","White","Man","36-50","College Educated","Employed","Union Member","Rich","Jewish","White","Man","36-50","College educated","Employed","Union member","","","","","","","","","","","","","","","",""
"R_b8vHwzUb3927n7f",1,NA,"TRUE","Female","Illinois","30-49","Some college","White/Caucasian","FALSE","midwest","1","Democrat","Middle class","Atheist or agnostic","White","Woman","18-35","College Educated","Employed","Not a Union Member","Rich","Catholic","White","Man","36-50","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_eKgNn0kCrmlHA6F",NA,1,"FALSE","Male","Washington","18-29","Some college","White/Caucasian","FALSE","west","2","Democrat","","","","","","","","","","","","","","","","","Rich","Catholic","White","Man","36-50","College Educated","Employed","Not a Union Member","Middle class","Catholic","Black or African-American","Woman","18-35","Never went to college","Employed","Union Member"
"R_00YMJCXm51nUJvv",NA,1,"FALSE","Male","California","18-29","Bachelor's degree","White/Caucasian","FALSE","west","2","Democrat","","","","","","","","","","","","","","","","","Middle class","Born-again/Evangelical Christian","White","Man","36-50","College Educated","Employed","Not a Union Member","Middle class","Atheist or agnostic","White","Man","18-35","College educated","Employed","Union Member"
"R_8p38BguklEfaqbP",1,NA,"FALSE","Male","Ohio","18-29","Some college","White/Caucasian","FALSE","midwest","1","Democrat","Middle class","Born-again/Evangelical Christian","White","Woman","18-35","College Educated","Employed","Union Member","Middle class","Born-again/Evangelical Christian","White","Man","18-35","College educated","Employed","Union member","","","","","","","","","","","","","","","",""
"R_bmup3wvjpsm64Qd",1,NA,"FALSE","Male","Florida","18-29","Some college","More than one race","TRUE","south","3","Democrat","Middle class","Catholic","Black or African-American","Man","18-35","College Educated","Employed","Not a Union Member","Middle class","Catholic","White","Man","18-35","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_1ZdcAqpt6vcpcAB",1,NA,"FALSE","Male","Illinois","18-29","Bachelor's degree","White/Caucasian","FALSE","midwest","6","Republican","Middle class","Catholic","White","Man","36-50","College Educated","Employed","Union Member","Middle class","Catholic","White","Man","18-35","College educated","Unemployed","Not a union member","","","","","","","","","","","","","","","",""
"R_eRlIpzIGcgaycyF",NA,1,"FALSE","Male","California","18-29","Bachelor's degree","White/Caucasian","FALSE","west","4","Independent","","","","","","","","","","","","","","","","","Middle class","Other Protestant Christian","White","Man","36-50","College Educated","Employed","Union Member","Middle class","Something else","White","Man","18-35","College educated","Employed","Union Member"
"R_8HXaOMrRSeE2YXX",NA,1,"TRUE","Female","Michigan","18-29","Advanced degree","White/Caucasian","FALSE","midwest","6","Republican","","","","","","","","","","","","","","","","","Middle class","Other Protestant Christian","White","Man","36-50","College Educated","Employed","Not a Union Member","Middle class","Atheist or agnostic","White","Woman","36-50","College educated","Employed","Union Member"
"R_2nx739FaSDmdFVr",NA,1,"FALSE","Male","Massachusetts","30-49","Bachelor's degree","White/Caucasian","FALSE","northeast","1","Democrat","","","","","","","","","","","","","","","","","Middle class","Born-again/Evangelical Christian","White","Man","36-50","College Educated","Employed","Not a Union Member","Poor","Catholic","White","Woman","18-35","College educated","Unemployed","Not a Union Member"
"R_eOI2KrOo7QMIRed",1,NA,"FALSE","Male","West Virginia","30-49","Bachelor's degree","White/Caucasian","FALSE","south","2","Democrat","Middle class","Catholic","White","Man","36-50","College Educated","Employed","Not a Union Member","Middle class","Born-again/Evangelical Christian","White","Man","36-50","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_etW4F1dvl6rkoYJ",1,NA,"FALSE","Male","Utah","18-29","Bachelor's degree","White/Caucasian","FALSE","west","6","Republican","Middle class","Atheist or agnostic","White","Woman","18-35","College Educated","Employed","Not a Union Member","Middle class","Other Protestant Christian","White","Man","18-35","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_4IOY99eJ6tC9dPv",1,NA,"FALSE","Male","Florida","18-29","Some college","White/Caucasian","FALSE","south","5","Republican","Middle class","Born-again/Evangelical Christian","White","Man","18-35","Never went to college","Employed","Not a Union Member","Rich","Catholic","White","Man","36-50","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_9nLG0R2RNtcxqkd",NA,1,"TRUE","Female","Arizona","30-49","Bachelor's degree","White/Caucasian","FALSE","west","1","Democrat","","","","","","","","","","","","","","","","","Middle class","Other Protestant Christian","White","Man","36-50","Never went to college","Employed","Not a Union Member","Middle class","Something else","Black or African-American","Woman","36-50","College educated","Employed","Not a Union Member"
"R_aXGGmejMffv0RTL",1,NA,"FALSE","Male","California","18-29","Bachelor's degree","White/Caucasian","TRUE","west","4","Independent","Middle class","Atheist or agnostic","White","Man","50+","College Educated","Employed","Union Member","Middle class","Catholic","Black or African-American","Man","36-50","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
